Dataset length,Binary_MPI_time,Linear_MPI_time,Binary_omp_time,Linear_omp_time,Binary_pthreads,Linear_pthreads, Binary_Sequential, Linear_Sequential
10,0.03797400,0.03087900,0.429325,0.422304,0.817811,0.56924,0.000552,0.02455
50,0.02797900,0.03705500,0.208767,0.177137,0.176459,0.313051,0.000149,0.007776
100,0.02917600,0.03235400,0.420484,0.382225,0.613335,0.670224,0.000169,0.007536
500,0.03908400,0.03695700,0.378673,0.388806,0.627281,0.638294,0.000631,0.028734
1000,0.03432100,0.03477600,0.264554,0.181892,0.290686,0.167824,0.000215,0.008358
5000,0.05684000,0.04084800,0.476543,0.466527,0.695469,0.610896,0.00067,0.062234
10000,0.04196500,0.05071600,0.454826,0.429882,0.617014,0.58076,0.000732,0.094074
50000,0.07634300,0.13644800,0.447153,0.223233,0.569705,0.503625,0.000289,0.121083
100000,0.10369100,0.22996700,0.388311,0.25148,0.265588,0.310817,0.000346,0.379981
500000,0.44179600,0.85216600,0.24033,0.351485,0.420284,0.399158,0.000287,1.28629
1000000,0.73599000,1.73541800,0.234041,0.461994,0.265698,0.653582,0.00079,2.70816
5000000,3.87235400,7.92563700,0.247037,1.38275,0.305393,1.54602,0.001024,2.1838
10000000,7.48927500,17.02642200,0.262709,2.6142,0.355212,2.79266,0.000925,26.8208
50000000,34.65549400,64.36009900,0.297069,13.2837,0.420726,12.4415,0.001543,2.43188
100000000,78.50273000,146.64525200,0.263463,26.9706,0.356476,25.5537,0.001473,2.48457
