Dataset length,Binary_MPI_time,Linear_MPI_time,Binary_omp_time,Linear_omp_time,Binary_pthreads,Linear_pthreads, Binary_Sequential, Linear_Sequential
10.0,0.03630933333333333,0.04962966666666666,0.429042,0.3403696666666667,0.616606,0.5772946666666666,0.00044199999999999996,0.020292
50.0,0.03136166666666667,0.032973666666666665,0.384385,0.336593,0.41217599999999993,0.46191999999999994,0.000359,0.019545
100.0,0.032431666666666664,0.030219333333333334,0.4085916666666667,0.38055900000000004,0.5890913333333333,0.5903696666666667,0.00045066666666666665,0.019085333333333333
500.0,0.03498266666666666,0.04325966666666666,0.38958866666666664,0.38257800000000003,0.5857606666666667,0.6418200000000001,0.000588,0.030773
1000.0,0.03891133333333333,0.04882333333333333,0.27213566666666666,0.25425766666666666,0.4221876666666667,0.462838,0.000494,0.023660999999999998
5000.0,0.04487733333333333,0.04160166666666667,0.455332,0.4234246666666666,0.5905429999999999,0.6071403333333333,0.0006816666666666667,0.065533
10000.0,0.044708,0.05289433333333333,0.3042816666666667,0.2917113333333333,0.5384663333333334,0.33101633333333336,0.0003913333333333333,0.05107166666666666
50000.0,0.077356,0.12731233333333333,0.457512,0.3474376666666667,0.427292,0.44127366666666673,0.00041866666666666663,0.129249
100000.0,0.10748433333333333,0.233577,0.365334,0.4095953333333333,0.46998500000000004,0.38860133333333335,0.0005223333333333333,0.279143
500000.0,0.42907433333333334,0.8447183333333333,0.243101,0.32361233333333334,0.39282700000000004,0.445768,0.00033433333333333335,1.2443466666666667
1000000.0,0.732189,1.9322036666666664,0.2338893333333333,0.464884,0.30832433333333337,0.5650443333333333,0.0007356666666666666,2.6167433333333334
5000000.0,3.760742,8.034319333333334,0.26977999999999996,1.3800533333333334,0.36076233333333335,1.4550566666666667,0.0009390000000000001,2.1638
10000000.0,7.071621666666666,17.415847333333332,0.25345,2.55095,0.35941333333333336,2.5892233333333334,0.0009493333333333333,26.674233333333333
50000000.0,37.02618366666667,64.812569,0.2712463333333333,13.265133333333333,0.425832,12.355766666666668,0.0017513333333333333,2.3142
100000000.0,75.90986166666666,132.50751366666665,0.258046,29.98136666666667,0.29347666666666666,26.131199999999996,0.003393,2.5012399999999997
